Series_reference,Period,Data_value,Suppressed,STATUS,UNITS
Series_reference,2011.06,80078,,F,Number
Series_reference,2011.09,78324,,F,Number
Series_reference,2011.12,85850,,F,Number
Series_reference,2012.03,90743,,F,Number
Series_reference,2012.06,81780,,F,Number
Series_reference,2012.09,79261,,F,Number
Series_reference,2012.12,87793,,F,Number
Series_reference,2013.03,91571,,F,Number
Series_reference,2013.06,81687,,F,Number
Series_reference,2013.09,81471,,F,Number
Series_reference,2013.12,93950,,F,Number
Series_reference,2014.03,97208,,F,Number
Series_reference,2014.06,85879,,F,Number
Series_reference,2014.09,84447,,F,Number
Series_reference,2014.12,95075,,F,Number
Series_reference,2015.03,98202,,F,Number
Series_reference,2015.06,87987,,F,Number
Series_reference,2015.09,84529,,F,Number
Series_reference,2015.12,96848,,F,Number
Series_reference,2016.03,99291,,F,Number
BDCQ.SEA1AA,2016.06,88716,,F,Number
BDCQ.SEA1AA,2016.09,85933,,F,Number
BDCQ.SEA1AA,2016.12,96540,,F,Number
BDCQ.SEA1AA,2017.03,98994,,F,Number
BDCQ.SEA1AA,2017.06,90510,,F,Number
BDCQ.SEA1AA,2017.09,87089,,F,Number
BDCQ.SEA1AA,2017.12,98933,,F,Number
BDCQ.SEA1AA,2018.03,101168,,F,Number
BDCQ.SEA1AA,2018.06,90766,,F,Number
BDCQ.SEA1AA,2018.09,86929,,F,Number
BDCQ.SEA1AA,2018.12,100290,,F,Number
BDCQ.SEA1AA,2019.03,102031,,F,Number
BDCQ.SEA1AA,2019.06,90836,,F,Number
BDCQ.SEA1AA,2019.09,88032,,F,Number
BDCQ.SEA1AA,2019.12,100531,,F,Number
BDCQ.SEA1AA,2020.03,100947,,F,Number
BDCQ.SEA1AA,2020.06,93239,,F,Number
BDCQ.SEA1AA,2020.09,93195,,F,Number
BDCQ.SEA1AA,2020.12,102683,,F,Number
BDCQ.SEA1AA,2021.03,101342,,F,Number
BDCQ.SEA1AA,2021.06,92962,,F,Number
BDCQ.SEA1AA,2021.09,91635,,F,Number
BDCQ.SEA1AA,2021.12,102423,,F,Number
BDCQ.SEA1AA,2022.03,100285,,F,Number
BDCQ.SEA1AA,2022.06,94075,,F,Number
BDCQ.SEA1AS,2011.06,83975,,R,Number
BDCQ.SEA1AS,2011.09,84189,,R,Number
BDCQ.SEA1AS,2011.12,82508,,R,Number
BDCQ.SEA1AS,2012.03,84368,,R,Number
